Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
5d5.6p,81267*,3,,81267.77,,0.11,  34  5d5.(4G).6p 5H*               :    19  5d5.(4D).6p         5F*  ,L20381
5d5.6p,83322*,4,,83322.22,,0.10,  22  5d5.(4G).6p 5F*               :    21  5d5.(4G).6p         5G*  ,L20381
5d5.(4G).6p,5F*,5,,84223.56,,0.10,  44                                :    13  5d5.(4G).6p         5H*  ,L20381
,84387*,1,,84387.74,,0.15,  11  5d5.(4D).6p 5D*               :    11  5d5.(4D).6p         5F*  ,L20381
5d5.6p,85558*,4,,85558.35,,0.11,  30  5d5.(4G).6p 5H*               :    20  5d5.(4D).6p         5F*  ,L20381
5d5.6p,85974*,3,,85974.17,,0.13,  22  5d5.(4D).6p 5P*               :    13  5d5.(4G).6p         5G*  ,L20381
5d5.6p,86429*,3,,86429.10,,0.13,  10  5d5.(4D).6p 3D*               :     9  5d5.(4D).6p         5P*  ,L20381
5d5.6p,87512*,2,,87512.60,,0.14,  15  5d5.(4D).6p 5F*               :    14  5d5.(4P).6p         5D*  ,L20381
5d5.6p,87906*,4,,87906.35,,0.11,  15  5d5.(4G).6p 3H*               :    13  5d5.(2F1).6p        1G*  ,L20381
5d5.6p,88264*,2,,88264.64,,0.13,  16  5d5.(4D).6p 5D*               :     9  5d5.(4P).6p         5S*  ,L20381
5d5.6p,88883*,3,,88883.29,,0.11,  23  5d5.(4G).6p 5F*               :    10  5d5.(4D).6p         5P*  ,L20381
5d5.6p,88981*,2,,88981.11,,0.13,  16  5d5.(4G).6p 5F*               :    14  5d5.(4G).6p         3F*  ,L20381
,89314*,1,,89314.98,,0.19,  24  5d4.(5D).6s.(6D).6p 7F*       :    20  5d5.(4G).6p         5F*  ,L20381
5d5.6p,89401*,2,,89401.47,,0.12,  11  5d5.(4G).6p 5F*               :    10  5d5.(4G).6p         5G*  ,L20381
5d5.6p,90322*,5,,90322.48,,0.10,  15  5d5.(2I).6p 3I*               :    14  5d5.(4G).6p         5H*  ,L20381
5d5.6p,90356*,4,,90356.69,,0.12,  12  5d5.(2G2).6p 3H*              :    10  5d5.(4G).6p         3F*  ,L20381
5d5.6p,90761*,4,,90761.97,,0.15,  19  5d5.(4G).6p 5G*               :    15  5d5.(4G).6p         5F*  ,L20381
