Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Landé-g,Leading percentages,,,,,,,Reference
,,9/2,53 923.5169,0.0011,,,,,,,,,L18847
,,,,,,,,,,,,,
3d4(5D)4p,z 4D°,1/2,54 417.9549,0.0008,0.007,98,,,,,,,"L18847,L7185"
,,3/2,54 499.4907,0.0008,1.178,98,,,,,,,"L18847,L7185"
,,5/2,54 625.5946,0.0008,1.376,98,,,,,,,"L18847,L7185"
,,7/2,54 784.4497,0.0008,1.430,98,,,,,,,"L18847,L7185"
,,,,,,,,,,,,,
3d4(a 3F)4s,d 4F,9/2,54 867.5086,0.0010,,,,,,,,,L18847
,,3/2,54 868.497,0.003,,,,,,,,,L18847
,,5/2,54 883.481,0.002,,,,,,,,,L18847
,,7/2,54 887.9858,0.0014,,,,,,,,,L18847
,,,,,,,,,,,,,
3d4(a 3P)4s,c 4P,5/2,55 023.0269,0.0012,,,,,,,,,L18847
,,3/2,55 398.6704,0.0019,,,,,,,,,L18847
,,1/2,55 626.093,0.003,,,,,,,,,L18847
,,,,,,,,,,,,,
3d4(a 3P)4s,b 2P,3/2,59 130.325,0.004,,,,,,,,,L18847
,,1/2,59 526.677,0.009,,,,,,,,,L18847
,,,,,,,,,,,,,
3d4(a 3F)4s,e 2F,7/2,59 570.155,0.002,,,,,,,,,L18847
,,5/2,59 577.687,0.004,,,,,,,,,L18847
,,,,,,,,,,,,,
3d4(b 1G)4s,e 2G,9/2,62 688.953,0.004,,,,,,,,,L18847
,,7/2,62 701.732,0.005,,,,,,,,,L18847
,,,,,,,,,,,,,
3d4(3H)4p,z 4H°,7/2,63 600.8606,0.0011,0.680,82,,,,16,3d4(3G)4p,4H°,"L18847,L7185"
,,9/2,63 706.2511,0.0011,1.030,80,,,,16,3d4(3G)4p,4H°,"L18847,L7185"
,,11/2,63 848.6962,0.0011,1.138,80,,,,15,3d4(3G)4p,4H°,"L18847,L7185"
,,13/2,64 030.5053,0.0011,1.234,83,,,,13,3d4(3G)4p,4H°,"L18847,L7185"
,,,,,,,,,,,,,
3d4(a 3P)4p,y 4D°,1/2,63 801.7500,0.0012,0.000,87,,,,7,3d4(a 3F)4p,4D°,"L18847,L7185"
,,3/2,64 061.688,0.003,1.199,86,,,,8,3d4(a 3F)4p,4D°,"L18847,L7185"
