Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Landé-g,Leading percentages,,,,,,,Reference
,,7/2,59 468.374,0.002,,95,,,,,,,L17885
,,,,,,,,,,,,,
3d(2D)4s4p(3P°),2P°,3/2,59 387.976,0.004,,83,,,,16,3d2(1S)4p,2P°,L17885
,,1/2,59 440.190,0.003,,79,,,,20,3d2(1S)4p,2P°,L17885
,,,,,,,,,,,,,
3d2(3F)5s,e 4F,3/2,62 180.4011,0.0007,,100,,,,,,,L17885
,,5/2,62 272.3881,0.0006,,99,,,,,,,L17885
,,7/2,62 410.9628,0.0006,,99,,,,,,,L17885
,,9/2,62 595.1650,0.0007,,100,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3F)5s,e 2F,5/2,63 169.0910,0.0010,,99,,,,,,,L17885
,,7/2,63 446.0264,0.0008,,99,,,,,,,L17885
,,,,,,,,,,,,,
3d2(1S)4p,2P°,1/2,63 276.867,0.004,,76,,,,20,3d(2D)4s4p(3P°),2P°,L17885
,,3/2,63 375.321,0.003,,81,,,,16,3d(2D)4s4p(3P°),2P°,L17885
,,,,,,,,,,,,,
3d2(3F)4d,e 4G,5/2,64 886.6693,0.0010,,96,,,,,,,L17885
,,7/2,64 979.2810,0.0008,,95,,,,,,,L17885
,,9/2,65 095.9741,0.0008,,93,,,,,,,L17885
,,11/2,65 243.6290,0.0008,,93,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3F)4d,e 4H,7/2,65 186.8680,0.0009,,96,,,,,,,L17885
,,9/2,65 308.4355,0.0009,,93,,,,,,,L17885
,,11/2,65 446.3822,0.0009,,93,,,,,,,L17885
,,13/2,65 590.4928,0.0014,,100,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3F)4d,4D,1/2,65 214.1729,0.0010,,99,,,,,,,L17885
,,3/2,65 274.8247,0.0008,,99,,,,,,,L17885
,,5/2,65 397.7388,0.0008,,80,,,,18,,,L17885
,,7/2,65 460.1706,0.0008,,51,,,,47,3d2(3F)4d,f 2F,L17885
,,,,,,,,,,,,,
3d2(3F)4d,f 2F,5/2,65 314.4599,0.0011,,,,,,,,,L17885
,,7/2,65 598.8926,0.0008,,49,,,,49,3d2(3F)4d,4D,L17885
,,,,,,,,,,,,,
3d2(3F)4d,2P,1/2,66 521.210,0.003,,93,,,,,,,L17885
,,3/2,66 794.2052,0.0016,,91,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3F)4d,4P,1/2,67 437.5295,0.0015,,,,,,,,,L17885
,,3/2,67 549.2547,0.0012,,,,,,,,,L17885
,,5/2,67 699.4431,0.0011,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3F)4d,e 2G,7/2,67 606.1621,0.0013,,91,,,,,,,L17885
,,9/2,67 822.5867,0.0018,,91,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3F)4d,e 2H,9/2,68 331.1599,0.0013,,95,,,,,,,L17885
,,11/2,68 584.4792,0.0015,,95,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3F)4d,2D,3/2,68 364.5454,0.0016,,86,,,,11,3d2(1D)4d,2D,L17885
,,5/2,68 482.5767,0.0011,,85,,,,12,3d2(1D)4d,2D,L17885
,,,,,,,,,,,,,
3d2(3F)4d,f 4F,3/2,68 769.3365,0.0012,,96,,,,,,,L17885
,,5/2,68 846.699,0.005,,96,,,,,,,L17885
,,7/2,68 952.1302,0.0009,,96,,,,,,,L17885
,,9/2,69 084.6309,0.0011,,96,,,,,,,L17885
,,,,,,,,,,,,,
3d(2D)4s4p(1P°),v 2D°,3/2,69 327.5102,0.0019,,65,,,,31,3d2(3F)5p,2D°,L17885
,,5/2,69 622.3000,0.0013,,65,,,,31,3d2(3F)5p,2D°,L17885
,,,,,,,,,,,,,
3d(2D)4s4p(1P°),v 2F°,5/2,70 605.9514,0.0015,,41,,,,54,3d2(3F)5p,2F°,L17885
,,7/2,70 892.6160,0.0012,,41,,,,54,3d2(3F)5p,2F°,L17885
,,,,,,,,,,,,,
3d2(1D)5s,2D,5/2,70 806.2161,0.0008,,,,,,,,,L17885
,,3/2,70 809.3378,0.0009,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3F)5p,4G°,5/2,71 461.7932,0.0009,,98,,,,,,,L17885
,,7/2,71 586.2514,0.0008,,99,,,,,,,L17885
,,9/2,71 747.6684,0.0008,,100,,,,,,,L17885
,,11/2,71 946.0817,0.0011,,100,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3F)5p,4F°,3/2,71 728.4971,0.0011,,100,,,,,,,L17885
,,5/2,71 825.9911,0.0008,,99,,,,,,,L17885
,,7/2,71 960.4326,0.0009,,99,,,,,,,L17885
,,9/2,72 126.9130,0.0007,,99,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3F)5p,4D°,1/2,72 270.5521,0.0013,,100,,,,,,,L17885
,,3/2,72 338.2060,0.0009,,99,,,,,,,L17885
,,5/2,72 451.6968,0.0008,,99,,,,,,,L17885
,,7/2,72 608.9742,0.0009,,99,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3P)5s,4P,1/2,72 599.0930,0.0017,,,,,,,,,L17885
,,3/2,72 660.8635,0.0012,,,,,,,,,L17885
,,5/2,72 761.7101,0.0014,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3F)5p,2G°,7/2,72 884.5221,0.0013,,99,,,,,,,L17885
,,9/2,73 133.5489,0.0014,,99,,,,,,,L17885
,,,,,,,,,,,,,
3d2(1D)4d,2S,1/2,73 375.538,0.005,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3P)5s,2P,1/2,73 437.2269,0.0017,,,,,,,,,L17885
,,3/2,73 553.8175,0.0014,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3F)5p,2F°,5/2,73 522.8997,0.0014,,45,,,,51,3d(2D)4s4p(1P°),v 2F°,L17885
,,7/2,73 800.7705,0.0013,,44,,,,52,3d(2D)4s4p(1P°),v 2F°,L17885
,,,,,,,,,,,,,
3d(2D)4s4p(1P°),2P°,1/2,73 628.043,0.002,,86,,,,,,,L17885
,,3/2,74 378.721,0.003,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3F)5p,2D°,3/2,73 950.1912,0.0015,,,,,,,,,L17885
,,5/2,74 645.2073,0.0019,,67,,,,27,3d(2D)4s4p(1P°),v 2D°,L17885
,,,,,,,,,,,,,
3d2(1D)4d,2F,5/2,73 975.618,0.002,,,,,,,,,L17885
,,7/2,74 063.7771,0.0018,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(1D)4d,2P,3/2,74 213.6741,0.0014,,,,,,,,,L17885
,,1/2,74 436.599,0.002,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(1D)4d,2G,9/2,74 908.058,0.003,,,,,,,,,L17885
,,7/2,74 910.8726,0.0020,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(1D)4d,2D,3/2,75 825.1131,0.0019,,,,,,,,,L17885
,,5/2,75 981.346,0.002,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3P)4d,4F,3/2,76 285.981,0.002,,,,,,,,,L17885
,,5/2,76 311.242,0.004,,,,,,,,,L17885
,,7/2,76 441.3150,0.0017,,,,,,,,,L17885
,,9/2,76 496.2220,0.0015,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3P)4d,4D,1/2,76 296.292,0.004,,,,,,,,,L17885
,,7/2,76 345.1973,0.0017,,,,,,,,,L17885
,,3/2,76 358.7220,0.0016,,,,,,,,,L17885
,,5/2,76 407.7595,0.0016,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(1G)5s,2G,7/2,76 598.492,0.002,,,,,,,,,L17885
,,9/2,76 599.8564,0.0016,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3P)4d,2F,5/2,77 335.2729,0.0019,,,,,,,,,L17885
,,7/2,77 359.019,0.002,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3P)4d,4P,3/2,77 741.1809,0.0011,,,,,,,,,L17885
,,1/2,77 753.0000,0.0015,,,,,,,,,L17885
,,5/2,77 807.7864,0.0017,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3P)4d,2P,1/2,77 937.4445,0.0013,,,,,,,,,L17885
,,3/2,78 058.1017,0.0014,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3P)4d,2D,5/2,78 543.8893,0.0015,,,,,,,,,L17885
,,3/2,78 595.8371,0.0016,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(1G)4d,2G,7/2,80 076.398,0.002,,,,,,,,,L17885
,,9/2,80 113.1209,0.0018,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(1D)5p,2F°,5/2,80 188.3226,0.0017,,,,,,,,,L17885
,,7/2,80 268.0717,0.0016,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(1G)4d,2H,9/2,80 788.150,0.002,,,,,,,,,L17885
,,11/2,80 829.6682,0.0018,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3F)4f,4H°,7/2,81 627.830,0.002,,,,,,,,,L17885
,,9/2,81 676.4409,0.0019,,,,,,,,,L17885
,,11/2,81 754.1387,0.0015,,,,,,,,,L17885
,,13/2,82 073.0114,0.0013,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3F)4f,2G°,7/2,81 685.979,0.002,,,,,,,,,L17885
,,9/2,81 842.2440,0.0013,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3F)4f,4G°,5/2,81 724.330,0.002,,,,,,,,,L17885
,,7/2,81 861.0276,0.0020,,,,,,,,,L17885
,,9/2,82 078.561,0.003,,,,,,,,,L17885
,,11/2,82 103.1876,0.0015,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3F)4f,4I°,9/2,81 738.2883,0.0018,,,,,,,,,L17885
,,11/2,81 889.5772,0.0017,,,,,,,,,L17885
,,13/2,81 919.6886,0.0015,,,,,,,,,L17885
,,15/2,82 164.075,0.002,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3F)4f,4D°,3/2,81 771.556,0.002,,,,,,,,,L17885
,,5/2,81 774.158,0.002,,,,,,,,,L17885
,,7/2,82 134.1565,0.0019,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3F)4f,4F°,3/2,81 867.876,0.003,,,,,,,,,L17885
,,7/2,81 913.0457,0.0017,,,,,,,,,L17885
,,5/2,81 943.4136,0.0020,,,,,,,,,L17885
,,9/2,82 147.7069,0.0016,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3F)4f,2H°,9/2,81 924.127,0.002,,,,,,,,,L17885
,,11/2,82 183.471,0.002,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3F)4f,2F°,5/2,81 997.005,0.005,,,,,,,,,L17885
,,7/2,82 151.461,0.002,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3F)4f,2I°,11/2,82 001.109,0.002,,,,,,,,,L17885
,,13/2,82 284.367,0.002,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3F)4f,2P°,1/2,82 065.643,0.006,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3P)5p,4D°,5/2,82 111.809,0.003,,,,,,,,,L17885
,,7/2,82 316.4935,0.0018,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(1G)4d,2F,5/2,82 241.662,0.003,,,,,,,,,L17885
,,7/2,82 243.0637,0.0017,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3F)4f,4P°,5/2,82 246.515,0.003,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3F)4f,2D°,5/2,82 319.068,0.003,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3F)4f,4S°,3/2,82 370.216,0.004,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3F)6s,4F,3/2,82 839.341,0.008,,,,,,,,,L17885
,,5/2,82 914.301,0.005,,,,,,,,,L17885
,,7/2,83 058.538,0.004,,,,,,,,,L17885
,,9/2,83 257.2496,0.0019,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3F)6s,2F,5/2,83 245.315,0.004,,,,,,,,,L17885
,,7/2,83 519.365,0.003,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(1G)4d,2D,5/2,83 661.0179,0.0020,,,,,,,,,L17885
,,3/2,83 666.406,0.007,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3F)5d,4G,5/2,84 268.971,0.003,,,,,,,,,L17885
,,7/2,84 360.507,0.004,,,,,,,,,L17885
,,9/2,84 490.976,0.004,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3F)5d,4H,7/2,84 369.880,0.003,,,,,,,,,L17885
,,9/2,84 512.7943,0.0020,,,,,,,,,L17885
,,11/2,84 632.249,0.003,,,,,,,,,L17885
,,13/2,84 722.279,0.002,,,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3F)5d,4D,3/2,84 510.157,0.012,,,,,,,,,L17885
,,5/2,84 644.617,0.004,,,,,,,,,L17885
,,7/2,84 652.443,0.004,,,,,,,,,L17885
,,,,,,,,,,,,,
Ti III (3d2 3F2),Limit,---,109 494,20,,,,,,,,,"L7185,L5432"
