Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Leading percentages,,,,,,,Reference
,,1,122 921.66,0.10,50,,,,22,3d5(4D)4p,5P°,L11223
,,,,,,,,,,,,
3d5(4D)4p,5D°,2,122 628.53,0.09,42,,,,38,3d5(4P)4p,3D°,L11223
,,3,122 829.68,0.10,38,3d5(4P)4p,3D°,,29,3d5(4D)4p,5D°,L11223
,,1,122 843.34,0.10,41,,,,34,3d5(4P)4p,3D°,L11223
,,4,122 944.26,0.10,78,,,,16,3d5(4P)4p,5D°,L11223
,,0,123 455.87,0.11,74,,,,19,3d5(4P)4p,5D°,L11223
,,,,,,,,,,,,
3d5(4D)4p,5P°,1,123 553.12,0.10,53,,,,22,3d5(4D)4p,5D°,L11223
,,2,123 697.15,0.10,54,,,,18,3d5(4P)4p,5P°,L11223
,,3,123 750.63,0.10,43,,,,23,3d5(4P)4p,5P°,L11223
,,,,,,,,,,,,
3d5(4D)4p,3D°,3,124 854.11,0.09,71,,,,12,3d5(4D)4p,5P°,L11223
,,2,124 904.09,0.10,84,,,,7,3d5(4F)4p,3D°,L11223
,,1,124 955.09,0.10,83,,,,8,3d5(4F)4p,3D°,L11223
,,,,,,,,,,,,
3d5(4D)4p,3F°,4,125 443.72,0.09,90,,,,,,,L11223
,,3,125 638.11,0.09,86,,,,,,,L11223
,,2,125 673.05,0.09,88,,,,,,,L11223
,,,,,,,,,,,,
3d5(4P)4p,3S°,1,126 390.74,0.11,95,,,,,,,L11223
,,,,,,,,,,,,
3d5(4D)4p,3P°,0,128 371.99,0.10,77,,,,19,3d5(4P)4p,3P°,L11223
,,1,128 605.74,0.09,73,,,,19,3d5(4P)4p,3P°,L11223
,,2,128 917.66,0.09,71,,,,22,3d5(4P)4p,3P°,L11223
,,,,,,,,,,,,
3d5(2I)4p,3K°,6,129 854.98,0.13,82,,,,16,3d5(2I)4p,3I°,L11223
,,7,130 040.60,0.12,72,,,,23,3d5(2I)4p,3I°,L11223
,,8,130 852.29,0.17,100,,,,,,,L11223
,,,,,,,,,,,,
3d5(2I)4p,3I°,5,130 256.42,0.09,82,,,,10,3d5(2I)4p,1H°,L11223
,,6,130 756.91,0.10,77,,,,17,3d5(2I)4p,3K°,L11223
,,7,131 035.14,0.13,74,,,,25,3d5(2I)4p,3K°,L11223
,,,,,,,,,,,,
3d5(2P)4s,3P,2,130 857.17,0.14,100,,,,,,,L11223
,,1,130 862.08,0.14,100,,,,,,,L11223
,,0,130 869.1,0.5,100,,,,,,,L11223
,,,,,,,,,,,,
3d5(a 2D)4p,1D°,2,131 445.12,0.09,23,3d5(a 2F)4p,3F°,,20,3d5(a 2D)4p,3F°,L11223
,,,,,,,,,,,,
3d5(2I)4p,1H°,5,131 710.73,0.10,67,,,,14,3d5(2I)4p,3I°,L11223
,,,,,,,,,,,,
3d5(2I)4p,1K°,7,131 991.74,0.15,95,,,,,,,L11223
,,,,,,,,,,,,
3d5(a 2D)4p,3F°,3,132 080.04,0.09,43,,,,24,3d5(a 2F)4p,3F°,L11223
,,2,132 105.12,0.09,31,,,,21,3d5(a 2D)4p,1D°,L11223
,,4,132 785.41,0.09,46,,,,22,3d5(a 2F)4p,3F°,L11223
,,,,,,,,,,,,
3d5(2I)4p,3H°,6,132 262.65,0.10,90,,,,,,,L11223
,,5,132 564.91,0.10,84,,,,8,3d5(2I)4p,1H°,L11223
,,4,132 659.48,0.09,89,,,,,,,L11223
,,,,,,,,,,,,
3d5(a 2D)4p,3P°,2,134 265.49,0.09,47,,,,15,3d5(a 2F)4p,3D°,L11223
,,1,134 549.41,0.11,36,,,,24,3d5(a 2D)4p,3D°,L11223
,,0,135 088.55,0.11,68,,,,21,3d5(c 2D)4p,3P°,L11223
,,,,,,,,,,,,
3d5(a 2F)4p,1G°,4,134 360.41,0.09,49,,,,17,3d5(a 2F)4p,3G°,L11223
,,,,,,,,,,,,
3d5(2P)4s,1P,1,134 443.91,0.14,99,,,,,,,L11223
,,,,,,,,,,,,
3d5(a 2F)4p,3G°,3,134 549.01,0.09,49,,,,19,3d5(a 2D)4p,1F°,L11223
,,5,135 316.64,0.10,43,,,,43,3d5(4F)4p,5G°,L11223
,,4,135 554.39,0.10,49,,,,38,3d5(a 2F)4p,3F°,L11223
,,,,,,,,,,,,
3d5(4F)4p,5G°,2,134 938.17,0.10,60,,,,14,3d5(a 2D)4p,3D°,L11223
,,3,135 097.01,0.09,60,,,,9,3d5(a 2D)4p,3D°,L11223
,,4,135 239.84,0.10,83,,,,5,3d5(a 2F)4p,1G°,L11223
,,5,135 735.43,0.11,49,,,,48,3d5(a 2F)4p,3G°,L11223
,,6,135 739.64,0.11,87,,,,10,3d5(2I)4p,1I°,L11223
,,,,,,,,,,,,
3d5(a 2D)4p,3D°,3,134 976.04,0.10,39,,,,20,3d5(4F)4p,5G°,L11223
,,1,135 217.18,0.10,37,,,,26,3d5(a 2D)4p,3P°,L11223
,,2,135 278.97,0.10,38,,,,26,3d5(4F)4p,5G°,L11223
,,,,,,,,,,,,
3d5(2I)4p,1I°,6,135 582.12,0.11,84,,,,9,3d5(4F)4p,5G°,L11223
,,,,,,,,,,,,
