Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Landé-g,Leading percentages,,,,,,,Reference
3d9(2D5/2)6s,2[5/2],3,133 594.2323,0.0013,,100,,,,,,,L19804
,,2,133 728.0387,0.0013,,100,,,,,,,L19804
,,,,,,,,,,,,,
3d8(3P)4s4p(3P°),3P°,2,133 825.927,0.004,,55,,,,22,3d8(3P)4s4p(3P°),3D°,L19804
,,1,135 135.168,0.003,,38,,,,32,3d8(3P)4s4p(3P°),3D°,L19804
,,0,135 484.075,0.004,,60,,,,31,3d8(1D)4s4p(3P°),3P°,L19804
,,,,,,,,,,,,,
3d8(3P)4s4p(3P°),3D°,3,133 984.325,0.004,,47,,,,31,3d8(3F)4s4p(1P°),3D°,L19804
,,1,134 359.847,0.003,,52,,,,24,3d8(3P)4s4p(3P°),3P°,L19804
,,2,134 675.522,0.003,,50,,,,22,3d8(3P)4s4p(3P°),3P°,L19804
,,,,,,,,,,,,,
3d8(3F)4s4p(1P°),3G°,5,134 110.870,0.004,,93,,,,2,3d94f,3G°,L19804
,,4,135 834.6720,0.0019,,49,,,,22,3d8(3F)4s4p(1P°),3F°,L19804
,,3,137 078.190,0.005,,52,,,,19,3d8(3F)4s4p(1P°),3F°,L19804
,,,,,,,,,,,,,
3d8(3F)4s4p(1P°),3F°,4,134 742.863,0.003,,50,,,,31,3d8(3F)4s4p(1P°),3G°,L19804
,,3,136 441.817,0.003,,25,,,,25,3d8(3F)4s4p(1P°),3G°,L19804
,,2,139 710.491,0.004,,19,,,,42,3d96p,1D°,L19804
,,,,,,,,,,,,,
3d9(2D3/2)6s,2[3/2],1,135 664.5204,0.0015,,100,,,,,,,L19804
,,2,135 760.1548,0.0016,,99,,,,,,,L19804
,,,,,,,,,,,,,
3d8(3F)4s4p(1P°),3D°,3,135 733.433,0.003,,26,3d8(3P)4s4p(3P°),3D°,,14,3d8(3F)4s4p(1P°),3F°,L19804
,,2,136 800.137,0.003,,41,,,,18,3d8(3P)4s4p(3P°),1D°,L19804
,,1,137 913.450,0.004,,28,,,,16,3d94f,3D°,L19804
,,,,,,,,,,,,,
3d9(2D5/2)4f,2[1/2]°,1,135 863.6857,0.0016,,97,,,,2,3d84s4p,,L19804
,,0,135 902.1365,0.0023,,94,,,,4,3d84s4p,,L19804
,,,,,,,,,,,,,
3d9(2D5/2)4f,2[3/2]°,2,135 910.7245,0.0011,,94,,,,4,3d9(2D5/2)4f,2[5/2]°,L19804
,,1,135 958.1919,0.0016,,97,,,,2,3d84s4p,,L19804
,,,,,,,,,,,,,
3d9(2D5/2)4f,2[11/2]°,6,135 931.01412,0.0012,,99,,,,1,3d84s4p,,L19804
,,5,135 933.89499,0.0019,,98,,,,1,3d84s4p,,L19804
,,,,,,,,,,,,,
3d8(3P)4s4p(3P°),5S°,2,135 952.279,0.005,,83,,,,4,3d94f,1D°,L19804
,,,,,,,,,,,,,
3d9(2D5/2)4f,2[7/2]°,3,135 989.9176,0.0012,,41,,,,37,3d84s4p,,L19804
,,4,136 132.77781,0.0010,,88,,,,8,3d9(2D5/2)4f,2[9/2]°,L19804
,,,,,,,,,,,,,
3d9(2D5/2)4f,2[5/2]°,2,136 013.9671,0.0011,,84,,,,9,3d84s4p,,L19804
,,3,136 035.3328,0.0010,,86,,,,11,3d9(2D5/2)4f,2[7/2]°,L19804
,,,,,,,,,,,,,
3d9(2D5/2)4f,2[9/2]°,5,136 160.61825,0.0011,,98,,,,2,3d84s4p,,L19804
