Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Landé-g,Leading percentages,,,,,,,Reference
,,4,85 611.55,,,99,,,,1,3d(2D5/2)5g,2[7/2],
,,,,,,,,,,,,,
3p63d5f,1F°,3,85 622.6,,,44,,,,25,3d5f,3F°,
,,,,,,,,,,,,,
3p63d(2D3/2)5g,2[11/2],5,85 659.66,,,95,,,,5,3d(2D5/2)5g,2[11/2],
,,6,85 660.42,,,95,,,,5,3d(2D5/2)5g,2[11/2],
,,,,,,,,,,,,,
3p63d(2D3/2)5g,2[5/2],2,85 688.9,,,96,,,,4,3d(2D5/2)5g,2[5/2],
,,3,85 688.9,,,96,,,,4,3d(2D5/2)5g,2[5/2],
,,,,,,,,,,,,,
3p63d5f,3P°,2,85 778.78,,,70,,,,23,3d5f,3D°,
,,1,85 800.62,,,65,,,,22,3d5f,3D°,
,,0,85 832.20,,,100,,,,,,,
,,,,,,,,,,,,,
3p63d(2D5/2)5g,2[9/2],5,85 788.01,,,100,,,,,,,
,,4,85 788.22,,,100,,,,,,,
,,,,,,,,,,,,,
3p63d(2D5/2)5g,2[11/2],5,85 803.49,,,95,,,,5,3d(2D3/2)5g,2[11/2],
,,6,85 804.11,,,95,,,,5,3d(2D3/2)5g,2[11/2],
,,,,,,,,,,,,,
3p63d5f,1H°,5,85 817.40,,,89,,,,10,3d5f,3H°,
,,,,,,,,,,,,,
3p63d(2D5/2)5g,2[7/2],3,85 819.8,,,99,,,,1,3d(2D3/2)5g,2[7/2],
,,4,85 820.00,,,99,,,,1,3d(2D3/2)5g,2[7/2],
,,,,,,,,,,,,,
3p63d(2D5/2)5g,2[5/2],2,85 867.9,,,96,,,,4,3d(2D3/2)5g,2[5/2],
,,3,85 867.9,,,96,,,,4,3d(2D3/2)5g,2[5/2],
,,,,,,,,,,,,,
3p63d(2D5/2)5g,2[13/2],7,85 877.52,,,100,,,,,,,
,,6,85 878.48,,,100,,,,,,,
,,,,,,,,,,,,,
3p63d(2D5/2)5g,2[3/2],1,85 915.9,,,100,,,,,,,
,,2,85 915.9,,,100,,,,,,,
,,,,,,,,,,,,,
3p63d7s,3D,1,86 557.7,,,,,,,,,,
,,2,86 607.5,,,,,,,,,,
,,3,86 751.0,,,,,,,,,,
,,,,,,,,,,,,,
3p63d6d,3G,3,87 233.09,,,,,,,,,,
,,4,87 295.23,,,,,,,,,,
,,5,87 405.48,,,,,,,,,,
,,,,,,,,,,,,,
3p64s4d,1D,2,89 940.27,,,,,,,,,,
,,,,,,,,,,,,,
3p63d6f,3G°,3,90 821.1,,,,,,,,,,
,,4,91 074.4,,,,,,,,,,
,,5,91 094.7,,,,,,,,,,
,,,,,,,,,,,,,
3p63d6f,3H°,5,90 937.9,,,,,,,,,,
