Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Leading percentages,,,,,,,Reference
3d6(3F2)4p,4D°,7/2,210 121.8,,49,,,,10,3d6(3F1)4p,4D°,
,,5/2,210 943.6,,37,,,,20,3d6(3P2)4p,4D°,
,,3/2,211 246.8,,49,,,,10,3d6(3D)4p,4D°,
,,1/2,211 351.7,,67,,,,12,3d6(3F1)4p,4D°,
,,,,,,,,,,,,
3d6(3H)4p,2I°,13/2,210 177.0,,86,,,,11,3d6(3H)4p,4I°,
,,11/2,210 987.5,,88,,,,4,3d6(3H)4p,4I°,
,,,,,,,,,,,,
3d6(3F2)4p,°,5/2,210 590.6,,24,4D°,,,23,3d6(3P2)4p,4D°,
,,,,,,,,,,,,
3d6(3P2)4p,°,3/2,211 027.6,,20,4D°,,,18,3d6(3F2)4p,4D°,
,,,,,,,,,,,,
3d6(3F2)4p,4G°,9/2,212 150.9,,37,,,,20,3d6(3H)4p,4G°,
,,11/2,212 207.0,,53,,,,17,3d6(3H)4p,4G°,
,,,,,,,,,,,,
3d6(3F2)4p,°,5/2,212 275.9,,24,2F°,,,19,3d6(3F2)4p,4G°,
,,,,,,,,,,,,
3d6(3F2)4p,°,7/2,212 281.8,,26,4G°,,,17,3d6(3H)4p,4G°,
,,,,,,,,,,,,
3d6(3F2)4p,°,7/2,213 131.1,,24,2F°,,,14,3d6(3H)4p,4G°,
,,,,,,,,,,,,
3d6(3G)4p,4F°,9/2,213 408.6,,57,,,,25,3d6(3G)4p,4G°,
,,5/2,215 516.8,,43,,,,30,3d6(3G)4p,4G°,
,,3/2,215 541.3,,68,,,,15,3d6(3D)4p,4F°,
,,,,,,,,,,,,
3d6(3H)4p,°,5/2,213 412.1,,28,4G°,,,18,3d6(3F2)4p,4G°,
,,,,,,,,,,,,
3d6(3G)4p,°,11/2,213 606.9,,31,4G°,,,30,3d6(3G)4p,2H°,
,,,,,,,,,,,,
3d6(3P2)4p,°,1/2,213 640.2,,31,2P°,,,23,3d6(3P1)4p,2P°,
,,,,,,,,,,,,
3d6(3F2)4p,°,9/2,213 739.7,,33,2G°,,,20,3d6(3G)4p,2H°,
,,,,,,,,,,,,
3d6(3P2)4p,2P°,3/2,214 055.8,,50,,,,33,3d6(3P1)4p,2P°,
,,,,,,,,,,,,
