Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
3p6.3d7.(2G).4p,3G*,4,,134414.77,,,  73             :    14  3d7.(2G).4p      1G*      ,
3p6.3d7.(2G).4p,1H*,5,,134217.60,,,  62             :    23  3d7.(2G).4p      3H*      ,
3p6.3d7.(2G).4p,1F*,3,,135023.20,,,  57             :    15  3d7.(2G).4p      3G*      ,
3p6.3d7.(4P).4p,3P*,0,,135334.90,,,  52             :    35  3d7.(2P).4p      1S*      ,
3p6.3d7.(4P).4p,3P*,2,,135350.33,,,  75             :    10  3d7.(a 2D).4p    3P*      ,
3p6.3d7.(4P).4p,3P*,1,,136098.70,,,  78             :    11  3d7.(2P).4p      3D*      ,
3p6.3d7.(2P).4p,3D*,2,,136813.20,,,  41             :    29  3d7.(2P).4p      1D*      ,
3p6.3d7.(2P).4p,3D*,3,,136967.00,,,  77             :     8  3d7.(a 2D).4p    3F*      ,
3p6.3d7.(2P).4p,3D*,1,,137362.36,,,  54             :    15  3d7.(a 2D).4p    3D*      ,
3p6.3d7.(2H).4p,3G*,5,,137020.20,,,  94             :     5  3d7.(2F).4p      3G*      ,
3p6.3d7.(2H).4p,3G*,4,,138030.90,,,  90             :     5  3d7.(2F).4p      3G*      ,
3p6.3d7.(2H).4p,3G*,3,,138852.20,,,  85             :     6  3d7.(2F).4p      3G*      ,
3p6.3d7.(2H).4p,3I*,6,,137391.30,,,  74             :    25  3d7.(2H).4p      1I*      ,
3p6.3d7.(2H).4p,3I*,7,,137991.40,,, 100                                                ,
3p6.3d7.(2H).4p,3I*,5,,138060.40,,,  95                                                ,
3p6.3d7.(2P).4p,*,2,,137631.60,,,  24  3D*        :    20  3d7.(2P).4p      1D*      ,
3p6.3d7.(2P).4p,1S*,0,,138146.48,,,  61             :    39  3d7.(4P).4p      3P*      ,
3p6.3d7.(a 2D).4p,3D*,3,,138487.40,,,  79             :    11  3d7.(a 2D).4p    3F*      ,
3p6.3d7.(a 2D).4p,3D*,1,,138979.20,,,  50             :    27  3d7.(2P).4p      1P*      ,
3p6.3d7.(a 2D).4p,3D*,2,,139253.70,,,  63             :    10  3d7.(2P).4p      3D*      ,
3p6.3d7.(2H).4p,1I*,6,,139633.90,,,  74             :    24  3d7.(2H).4p      3I*      ,
3p6.3d7.(a 2D).4p,3F*,4,,140184.65,,,  98                                                ,
3p6.3d7.(a 2D).4p,3F*,3,,140544.52,,,  71             :     8  3d7.(2P).4p      3D*      ,
3p6.3d7.(a 2D).4p,3F*,2,,140885.40,,,  73             :    10  3d7.(a 2D).4p    3D*      ,
3p6.3d7.(2P).4p,3S*,1,,140885.15,,,  67             :     8  3d7.(2P).4p      1P*      ,
3p6.3d7.(2P).4p,1P*,1,,141414.10,,,  49             :    17  3d7.(a 2D).4p    3D*      ,
3p6.3d7.(2H).4p,3H*,6,,142187.80,,,  98                                                ,
3p6.3d7.(2H).4p,3H*,5,,142575.60,,,  95                                                ,
3p6.3d7.(2H).4p,3H*,4,,143002.70,,,  95                                                ,
3p6.3d7.(a 2D).4p,1D*,2,,142433.95,,,  46             :    29  3d7.(a 2D).4p    3P*      ,
3p6.3d7.(a 2D).4p,3P*,2,,143560.16,,,  48             :    24  3d7.(a 2D).4p    1D*      ,
3p6.3d7.(a 2D).4p,3P*,1,,144624.55,,,  67             :    11  3d7.(2P).4p      3P*      ,
3p6.3d7.(a 2D).4p,3P*,0,,145088.45,,,  80             :    15  3d7.(2P).4p      3P*      ,
3p6.3d7.(a 2D).4p,1F*,3,,143864.80,,,  73             :    16  3d7.(2G).4p      1F*      ,
3p6.3d7.(2H).4p,1G*,4,,144153.00,,,  70             :    27  3d7.(2G).4p      1G*      ,
3p6.3d7.(a 2D).4p,1P*,1,,145950.15,,,  88                                                ,
3p6.3d7.(2H).4p,1H*,5,,146325.80,,,  96                                                ,
3p6.3d6.4s2,5D,4,,153256.35,,,                                                    ,
3p6.3d6.4s2,5D,3,,154170.37,,,                                                    ,
3p6.3d7.(2F).4p,1D*,2,,155071.00,,,  60             :    32  3d7.(2F).4p      3F*      ,
3p6.3d7.(2F).4p,3G*,3,,155443.30,,,  82             :    10  3d7.(2F).4p      3F*      ,
3p6.3d7.(2F).4p,3G*,4,,155841.40,,,  73             :    15  3d7.(2F).4p      3F*      ,
3p6.3d7.(2F).4p,3G*,5,,156808.70,,,  94             :     5  3d7.(2H).4p      3G*      ,
3p6.3d7.(2F).4p,3F*,3,,156411.20,,,  68             :    19  3d7.(2F).4p      3D*      ,
3p6.3d7.(2F).4p,3F*,2,,156522.87,,,  64             :    29  3d7.(2F).4p      1D*      ,
3p6.3d7.(2F).4p,3F*,4,,156972.08,,,  50             :    28  3d7.(2F).4p      1G*      ,
3p6.3d7.(2F).4p,3D*,3,,156853.00,,,  72             :    18  3d7.(2F).4p      3F*      ,
3p6.3d7.(2F).4p,3D*,2,,157154.27,,,  85             :     8  3d7.(2F).4p      1D*      ,
3p6.3d7.(2F).4p,3D*,1,,157235.16,,,  93             :     5  3d7.(b 2D).4p    3D*      ,
3p6.3d7.(2F).4p,1G*,4,,157375.42,,,  65             :    32  3d7.(2F).4p      3F*      ,
3p6.3d7.(2F).4p,1F*,3,,161754.89,,,  97                                                ,
3p6.3d7.(b 2D).4p,3P*,2,,176487.10,,,  99                                                ,
