Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Landé-g,Leading percentages,,,,,,,Reference
,,3,37 520.6639,0.0007,1.47,61,,,,33,3d3(4F)4p,3D°,"L20009,L8201"
,,4,37 531.1324,0.0011,1.44,97,,,,,,,"L20009,L8201"
,,,,,,,,,,,,,
3d24s2,e 3F,2,37 937.703,0.007,,85,,,,10,3d4,3F1,L20009
,,3,38 193.023,0.004,,86,,,,9,3d4,3F1,L20009
,,4,38 517.085,0.003,,87,,,,8,3d4,3F1,L20009
,,,,,,,,,,,,,
3d3(4F)4p,z 3G°,3,39 234.0877,0.0010,0.84,92,,,,6,3d3(2G)4p,3G°,"L20009,L8201"
,,4,39 403.7873,0.0010,1.03,92,,,,6,3d3(2G)4p,3G°,"L20009,L8201"
,,5,39 612.9643,0.0009,1.19,91,,,,6,3d3(2G)4p,3G°,"L20009,L8201"
,,,,,,,,,,,,,
3d3(4F)4p,z 3F°,2,40 001.7556,0.0010,0.65,94,,,,,,,"L20009,L8201"
,,3,40 195.5675,0.0008,1.02,94,,,,,,,"L20009,L8201"
,,4,40 430.0878,0.0011,1.22,94,,,,,,,"L20009,L8201"
,,,,,,,,,,,,,
3d3(2D1)4s,c 3D,3,44 098.469,0.011,1.27?,76,,,,23,3d3(2D2)4s,3D,"L20009,L8201"
,,2,44 159.461,0.006,1.14?,75,,,,23,3d3(2D2)4s,3D,"L20009,L8201"
,,1,44 201.678,0.012,0.50?,75,,,,24,3d3(2D2)4s,3D,"L20009,L8201"
,,,,,,,,,,,,,
3d24s2,c 1D,2,44 658.000,0.016,,61,,,,21,3d4,1D1,L20009
,,,,,,,,,,,,,
3d3(4P)4p,y 5D°,0,46 586.481,0.003,,49,,,,39,3d3(4P)4p,3P°,L20009
,,1,46 690.4958,0.0020,1.44,57,,,,34,3d3(4P)4p,3P°,"L20009,L8201"
,,2,47 101.9320,0.0016,1.47,62,,,,28,3d3(4P)4p,3P°,"L20009,L8201"
,,3,47 181.2361,0.0022,1.48?,96,,,,,,,"L20009,L8201"
