Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
4d2.(1D).5d,2G,9/2,,127331.86,,,  67         :    21  4d2.(3P).5d   4F   ,L9419
4d2.(1D).5d,2G,7/2,,127408.40,,,  71         :     7  4d2.(3P).5d   4F   ,L9419
4d2.(3P).6s,4P,1/2,[,127800,],,  94         :     2  4d2.(3F).5d   4P   ,L9419
4d2.(3P).6s,4P,3/2,,128277.42,,,  87         :     4  4d2.(3P).6s   2P   ,L9419
4d2.(3P).6s,4P,5/2,,129198.23,,,  71         :    15  4d2.(1D).6s   2D   ,L9419
4d2.(3P).5d,4F,3/2,,127860.36,,,  94         :     2  4d2.(1D).5d   2D   ,L9419
4d2.(3P).5d,4F,5/2,,128146.56,,,  88         :     7  4d2.(3P).5d   4D   ,L9419
4d2.(3P).5d,4F,7/2,,128575.53,,,  74         :    11  4d2.(3P).5d   4D   ,L9419
4d2.(3P).5d,4F,9/2,,129367.66,,,  76         :    17  4d2.(1D).5d   2G   ,L9419
4d2.(3P).5d,4D,3/2,,128541.32,,,  59         :    24  4d2.(1D).5d   2D   ,L9419
4d2.(3P).5d,4D,5/2,,128892.60,,,  71         :    10  4d2.(1D).5d   2D   ,L9419
4d2.(3P).5d,4D,1/2,[,128900,],,  67         :    24  4d2.(3P).6s   2P   ,L9419
4d2.(3P).5d,4D,7/2,,129655.44,,,  71         :    12  4d2.(3P).5d   4F   ,L9419
4d2.(3P).6s,2P,1/2,,129076.25,,,  49         :    26  4d2.(3P).5d   4D   ,L9419
4d2.(3P).6s,2P,3/2,,129726.21,,,  40         :    13  4d2.(1D).5d   2D   ,L9419
4d2.(1D).5d,2D,3/2,,129248.65,,,  20         :    23  4d2.(3P).5d   4D   ,L9419
4d2.(1D).5d,2D,5/2,,130901.82,,,  24         :    38  4d2.(3P).5d   4P   ,L9419
4d2.(3P).5d,2F,5/2,,129519.27,,,  54         :    34  4d2.(1G).5d   2F   ,L9419
4d2.(3P).5d,2F,7/2,,129852.29,,,  52         :    25  4d2.(1G).5d   2F   ,L9419
4d2.(3P).5d,4P,5/2,,129855.84,,,  42         :    29  4d2.(1D).5d   2D   ,L9419
4d2.(3P).5d,4P,1/2,[,130300,],,  55         :    16  4d2.(3P).6s   2P   ,L9419
4d2.(3P).5d,4P,3/2,,130544.15,,,  38         :    36  4d2.(3P).6s   2P   ,L9419
4d2.(1D).5d,2P,1/2,[,131200,],,  30         :    29  4d2.(3P).5d   4P   ,L9419
4d2.(1D).5d,2P,3/2,[,132300,],,  20         :    21  4d2.(3P).5d   2D   ,L9419
4d2.(1G).5d,2G,7/2,,131339.12,,,  44         :    47  4d2.(1G).6s   2G   ,L9419
4d2.(1G).5d,2G,9/2,,132841.23,,,  43         :    40  4d2.(1G).6s   2G   ,L9419
4d2.(1G).6s,2G,9/2,,131489.86,,,  54         :    35  4d2.(1G).5d   2G   ,L9419
4d2.(1G).6s,2G,7/2,,132807.31,,,  51         :    47  4d2.(1G).5d   2G   ,L9419
4d2.(3P).5d,2D,3/2,,131503.35,,,  29         :    17  4d2.(3P).5d   4P   ,L9419
4d2.(3P).5d,2D,5/2,,131562.50,,,  55         :    23  4d2.(1G).5d   2D   ,L9419
4d2.(1G).5d,2I,11/2,,132469.25,,,  99         :     1  4d2.(1G).5d   2H   ,L9419
4d2.(1G).5d,2I,13/2,,132680.44,,, 100                                     ,L9419
4d2.(1G).5d,2H,9/2,,133399.35,,,  77         :    10  4d2.(1G).5d   2G   ,L9419
4d2.(1G).5d,2H,11/2,,133402.69,,,  90         :     8  4d2.(3F).5d   2H   ,L9419
4d2.(1G).5d,2F,7/2,,135550.43,,,  63         :    27  4d2.(3P).5d   2F   ,L9419
4d2.(1G).5d,2F,5/2,,135649.73,,,  62         :    25  4d2.(3P).5d   2F   ,L9419
4d2.(1G).5d,2D,3/2,[,137900,],,  67         :    29  4d2.(3P).5d   2D   ,L9419
4d2.(1G).5d,2D,5/2,[,138100,],,  63         :    31  4d2.(3P).5d   2D   ,L9419
4d2.(1S).6s,2S,1/2,[,149200,],,  99                                     ,L9419
4d2.(1S).5d,2D,5/2,[,150000,],,  98                                     ,L9419
4d2.(1S).5d,2D,3/2,[,150000,],,  96         :     2  4d2.(3P).5d   2D   ,L9419
Nb IV (4d2 3F<2>),Limit,---,[,202000,],,                                         ,L17276
