Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Leading percentages,,,,,,,Reference
3d4(a 1D)4p,w 2D°,3/2,151 628.8,,67,,,,15,3d4(3D)4p,2D°,
,,5/2,151 871.3,,58,,,,23,3d4(3D)4p,2D°,
,,,,,,,,,,,,
3d4(a 1D)4p,v 2F°,7/2,152 370.65,,83,,,,10,3d4(1F)4p,2F°,
,,5/2,153 067.70,,81,,,,5,3d4(1F)4p,2F°,
,,,,,,,,,,,,
3d4(1F)4p,u 2F°,5/2,156 621.7,,81,,,,7,3d4(a 1D)4p,2F°,
,,7/2,156 809.6,,78,,,,10,3d4(a 1D)4p,2F°,
,,,,,,,,,,,,
3d4(1F)4p,v 2G°,9/2,158 016.3,,95,,,,,,,
,,,,,,,,,,,,
3d4(1F)4p,v 2D°,5/2,160 039.7,,66,,,,18,3d4(b 3P)4p,2D°,
,,3/2,160 758.5,,70,,,,16,3d4(b 3P)4p,2D°,
,,,,,,,,,,,,
3d4(b 3F)4p,v 4F°,3/2,162 999.8,,96,,,,,,,
,,5/2,163 022.3,,92,,,,,,,
,,7/2,163 078.5,,92,,,,,,,
,,9/2,163 194.6,,98,,,,,,,
,,,,,,,,,,,,
3d4(b 3F)4p,w 4G°,5/2,165 382.0,,79,,,,16,3d4(b 3F)4p,2F°,
,,7/2,165 428.7,,80,,,,15,3d4(b 3F)4p,2F°,
,,9/2,165 740.0,,97,,,,,,,
,,11/2,165 947.0,,99,,,,,,,
,,,,,,,,,,,,
3d4(b 3F)4p,t 2F°,7/2,165 702.9,,73,,,,17,3d4(b 3F)4p,4G°,
,,5/2,165 922.9,,73,,,,16,3d4(b 3F)4p,4G°,
,,,,,,,,,,,,
3d4(b 3P)4p,y 4S°,3/2,167 808.4,,97,,,,,,,
,,,,,,,,,,,,
3d4(b 3F)4p,u 2G°,9/2,169 455.0,,97,,,,,,,
,,11/2,169 682.4,,97,,,,,,,
,,,,,,,,,,,,
3d4(b 3F)4p,u 4D°,7/2,169 518.3,,68,,,,31,3d4(b 3P)4p,4D°,
,,5/2,169 773.2,,69,,,,30,3d4(b 3P)4p,4D°,
,,3/2,169 977.2?,,69,,,,30,3d4(b 3P)4p,4D°,
,,,,,,,,,,,,
3d4(5D)4d,e 6G,3/2,172 451.23,,,,,,,,,
,,5/2,172 547.85,,,,,,,,,
,,7/2,172 682.64,,,,,,,,,
,,9/2,172 855.02,,,,,,,,,
,,11/2,173 063.55,,,,,,,,,
,,13/2,173 306.45,,,,,,,,,
,,,,,,,,,,,,
3d4(5D)4d,e 6P,3/2,172 569.27,,,,,,,,,
,,5/2,172 613.87,,,,,,,,,
,,7/2,172 755.95,,,,,,,,,
,,,,,,,,,,,,
3d4(5D)4d,e 6D,1/2,173 835.07,,,,,,,,,
,,3/2,173 920.69,,,,,,,,,
,,5/2,174 048.89,,,,,,,,,
,,7/2,174 243.33,,,,,,,,,
,,9/2,174 464.07,,,,,,,,,
,,,,,,,,,,,,
3d4(5D)4d,e 6F,1/2,174 247.63,,,,,,,,,
,,3/2,174 332.91,,,,,,,,,
,,5/2,174 436.59,,,,,,,,,
,,7/2,174 575.87,,,,,,,,,
,,9/2,174 874.50,,,,,,,,,
,,11/2,174 975.65,,,,,,,,,
,,,,,,,,,,,,
3d4(5D)4d,e 4P,1/2,175 918.50,,,,,,,,,
,,3/2,176 265.78,,,,,,,,,
,,5/2,176 683.76,,,,,,,,,
,,,,,,,,,,,,
3d4(5D)5s,f 6D,1/2,176 100.71,,,,,,,,,
,,3/2,176 209.15,,,,,,,,,
,,5/2,176 390.67,,,,,,,,,
,,7/2,176 641.14,,,,,,,,,
,,9/2,176 945.20,,,,,,,,,
,,,,,,,,,,,,
3d4(5D)4d,e 4G,5/2,176 270.25,,,,,,,,,
,,7/2,176 464.78,,,,,,,,,
,,9/2,176 695.06,,,,,,,,,
,,11/2,176 970.01,,,,,,,,,
,,,,,,,,,,,,
3d4(5D)4d,e 4D,1/2,177 185.18,,,,,,,,,
,,3/2,177 269.34,,,,,,,,,
,,5/2,177 477.23,,,,,,,,,
,,7/2,177 687.54,,,,,,,,,
,,,,,,,,,,,,
3d4(5D)5s,f 4D,1/2,178 386.00,,,,,,,,,
,,3/2,178 558.30,,,,,,,,,
,,5/2,178 816.96,,,,,,,,,
,,7/2,179 152.09,,,,,,,,,
,,,,,,,,,,,,
3d4(5D)4d,e 4F,3/2,179 228.69,,,,,,,,,
,,5/2,179 339.59,,,,,,,,,
,,9/2,179 683.61,,,,,,,,,
,,,,,,,,,,,,
3d4(5D)4d,e 6S,5/2,181 949.34,,,,,,,,,
,,,,,,,,,,,,
3d4(5D)5p,y 6F°,1/2,191 915.43,,,,,,,,,
,,3/2,192 012.75,,,,,,,,,
,,5/2,192 172.89,,,,,,,,,
,,7/2,192 392.20,,,,,,,,,
,,9/2,192 665.80,,,,,,,,,
,,11/2,192 989.05,,,,,,,,,
,,,,,,,,,,,,
3d4(5D)5p,y 6P°,3/2,192 365.52,,,,,,,,,
,,5/2,192 576.42,,,,,,,,,
,,7/2,192 880.16,,,,,,,,,
,,,,,,,,,,,,
3d4(5D)5p,y 6D°,1/2,192 741.67,,,,,,,,,
,,3/2,192 948.29,,,,,,,,,
,,5/2,193 235.43,,,,,,,,,
,,7/2,193 498.07,,,,,,,,,
,,9/2,193 756.79,,,,,,,,,
,,,,,,,,,,,,
3d4(3H)4d,e 4I,9/2,194 446.1,,,,,,,,,
,,11/2,194 893.0,,,,,,,,,
,,13/2,195 141.8,,,,,,,,,
,,15/2,195 455.5,,,,,,,,,
,,,,,,,,,,,,
3d4(5D)5p,w 4P°,1/2,194 545.78,,,,,,,,,
,,3/2,194 894.78,,,,,,,,,
,,5/2,195 315.78,,,,,,,,,
,,,,,,,,,,,,
3d4(3H)4d,e 4H,7/2,194 555.4,,,,,,,,,
,,9/2,194 744.0,,,,,,,,,
,,11/2,194 908.20,,,,,,,,,
,,13/2,195 036.20,,,,,,,,,
,,,,,,,,,,,,
3d4(5D)5p,u 4F°,3/2,194 849.10,,,,,,,,,
,,5/2,194 971.15,,,,,,,,,
,,7/2,195 112.81,,,,,,,,,
,,9/2,195 308.79,,,,,,,,,
,,,,,,,,,,,,
3d4(3H)4d,e 4K,11/2,194 900.40,,,,,,,,,
,,13/2,195 036.20,,,,,,,,,
,,15/2,195 186.90,,,,,,,,,
,,17/2,195 343.10,,,,,,,,,
,,,,,,,,,,,,
3d4(3H)4d,f 4G,9/2,195 415.20,,,,,,,,,
,,11/2,195 682.50,,,,,,,,,
,,,,,,,,,,,,
3d4(5D)5p,v 4D°,1/2,195 462.26,,,,,,,,,
,,3/2,195 592.09,,,,,,,,,
,,5/2,195 752.48,,,,,,,,,
,,7/2,195 948.44,,,,,,,,,
,,,,,,,,,,,,
3d4(5D)4f,z 6G°,7/2,208 650.54,,,,,,,,,
,,9/2,208 751.60,,,,,,,,,
,,11/2,209 032.30,,,,,,,,,
,,13/2,209 323.03,,,,,,,,,
,,,,,,,,,,,,
3d4(5D)4f,z 6H°,5/2,208 743.10,,,,,,,,,
,,7/2,208 819.64,,,,,,,,,
,,9/2,208 935.88,,,,,,,,,
,,11/2,209 091.41,,,,,,,,,
,,13/2,209 289.76,,,,,,,,,
,,15/2,209 530.38,,,,,,,,,
,,,,,,,,,,,,
3d4(5D)5d,f 6G,3/2,215 473.20,,,,,,,,,
,,5/2,215 520.22,,,,,,,,,
,,7/2,215 663.50,,,,,,,,,
,,9/2,215 917.52,,,,,,,,,
,,11/2,216 194.05,,,,,,,,,
,,13/2,216 533.06,,,,,,,,,
,,,,,,,,,,,,
3d4(5D)5d,f 6F,1/2,215 580.87,,,,,,,,,
,,3/2,215 715.41,,,,,,,,,
,,5/2,215 875.73,,,,,,,,,
,,7/2,216 149.32,,,,,,,,,
,,9/2,216 307.29,,,,,,,,,
,,11/2,216 691.83,,,,,,,,,
,,,,,,,,,,,,
3d4(5D)5d,g 6D,3/2,215 911.73,,,,,,,,,
,,5/2,216 062.13,,,,,,,,,
,,7/2,216 283.58,,,,,,,,,
,,9/2,216 670.58,,,,,,,,,
,,,,,,,,,,,,
3d4(5D)5d,f 6P,3/2,216 162.90,,,,,,,,,
,,5/2,216 403.86,,,,,,,,,
,,7/2,216 557.38,,,,,,,,,
,,,,,,,,,,,,
3d4(5D)6s,h 6D,1/2,216 423.25,,,,,,,,,
,,3/2,216 531.99,,,,,,,,,
,,5/2,216 712.73,,,,,,,,,
,,7/2,216 961.62,,,,,,,,,
,,9/2,217 271.59,,,,,,,,,
,,,,,,,,,,,,
3d4(5D)6s,g 4D,3/2,217 807.57?,,,,,,,,,
,,5/2,218 067.19?,,,,,,,,,
,,7/2,218 400.40?,,,,,,,,,
,,,,,,,,,,,,
3d4(5D)5d,h 4G,5/2,217 975.30,,,,,,,,,
,,7/2,218 115.15,,,,,,,,,
,,9/2,218 375.61,,,,,,,,,
,,11/2,218 596.69,,,,,,,,,
,,,,,,,,,,,,
3d4(5D)5d,h 4D,1/2,218 085.88,,,,,,,,,
,,3/2,218 180.90,,,,,,,,,
,,5/2,218 307.98,,,,,,,,,
,,7/2,218 506.39,,,,,,,,,
,,,,,,,,,,,,
3d4(5D)5d,f 4P,1/2,218 127.59,,,,,,,,,
,,3/2,218 373.00,,,,,,,,,
