Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
4d.(2D<3/2>).5g,2[5/2],3,,147244.56,,,  97     or  :    50  4d.5g           3D       ,
4d.(2D<3/2>).5g,2[5/2],2,,147368.16,,,  97     or  :    51  4d.5g           3F       ,
4d.5f,1H*,5,,147751.9,,,  93     or  :    67  4d.(2D<5/2>).5f 2[11/2]* ,
4d.5f,1P*,1,,148049.7,,,  71     or  :    42  4d.(2D<5/2>).5f 2[1/2]*  ,
4d.(2D<5/2>).5g,2[9/2],5,,148067.44,,,  95     or  :    70  4d.5g           3G       ,
4d.(2D<5/2>).5g,2[9/2],4,,148074.81,,,  99     or  :    37  4d.5g           3G       ,
4d.(2D<5/2>).5g,2[11/2],5,,148108.45,,,  94     or  :    44  4d.5g           3H       ,
4d.(2D<5/2>).5g,2[11/2],6,,148121.51,,,  97     or  :    74  4d.5g           3H       ,
4d.(2D<5/2>).5g,2[7/2],3,,148189.67,,,  99     or  :    37  4d.5g           1F       ,
4d.(2D<5/2>).5g,2[7/2],4,,148193.27,,,  98     or  :    62  4d.5g           3F       ,
4d.(2D<5/2>).5g,2[5/2],3,,148426.02,,,  97     or  :    50  4d.5g           3D       ,
4d.(2D<5/2>).5g,2[5/2],2,,148469.61,,,  96     or  :    49  4d.5g           3F       ,
4d.(2D<5/2>).5g,2[13/2],7,,148433.52,,, 100     or  :   100  4d.5g           3I       ,
4d.(2D<5/2>).5g,2[13/2],6,,148459.44,,,  99     or  :    62  4d.5g           1I       ,
4d.(2D<5/2>).5g,2[3/2],1,,148653.15,,, 100     or  :   100  4d.5g           3D       ,
4d.(2D<5/2>).5g,2[3/2],2,,148756.93,,,  99     or  :    54  4d.5g           3D       ,
5s.4f,3F*,2,,155186.8,,,                                               ,
5s.4f,3F*,3,,155233.5,,,                                               ,
5s.4f,3F*,4,,155291.3,,,                                               ,
5s.4f,1F*,3,,156153.7,,,                                               ,
4d.6f,3G*,4,,159016.9,,,                                               ,
4d.6f,3G*,5,,159162.2,,,                                               ,
4d.6f,1H*,5,,159973.8,,,                                               ,
Zr IV (4d 2D<3/2>),Limit,---,[,186880,],30,                                               ,L9267
