Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Landé-g,Leading percentages,,,,,,,Reference
,,3/2,49 506.922,0.003,,62,,,,38,3d6(3P2)4s,4P,"L18349,L18361c138"
,,5/2,50 212.836,0.002,,59,,,,37,3d6(3P2)4s,4P,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3F1)4s,c 4F,3/2,50 075.921,0.003,,80,,,,20,3d6(3F2)4s,4F,"L18349,L18361c138"
,,5/2,50 142.811,0.003,,76,,,,19,3d6(3F2)4s,4F,"L18349,L18361c138"
,,9/2,50 157.475,0.002,,78,,,,21,3d6(3F2)4s,4F,"L18349,L18361c138"
,,7/2,50 187.822,0.002,,78,,,,20,3d6(3F2)4s,4F,"L18349,L18361c138"
,,,,,,,,,,,,,
3d5(6S)4s4p(3P°),z 8P°,5/2,52 299.810,0.003,,100,3d54s(7S)4p,8P°,,,,,"L18349,L18361c138"
,,7/2,52 582.850,0.003,,100,3d54s(7S)4p,8P°,,,,,"L18349,L18361c138"
,,9/2,52 966.173,0.003,,100,3d54s(7S)4p,8P°,,,,,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3P1)4s,c 2P,1/2,54 063.358,0.007,,62,,,,37,3d6(3P2)4s,2P,"L18349,L18361c138"
,,3/2,54 902.286,0.003,,61,,,,38,3d6(3P2)4s,2P,"L18349,L18361c138"
,,,,,,,,,,,,,
3d54s2,b 4G,11/2,54 232.201,0.002,,98,3d54s2,4G,,2,3d5(4G)4p2,4G,"L18349,L18361c138"
,,9/2,54 273.656,0.002,,98,,,,2,3d5(4G)4p2,4G,"L18349,L18361c138"
,,5/2,54 275.649,0.002,,97,,,,2,3d5(4G)4p2,4G,"L18349,L18361c138"
,,7/2,54 283.236,0.002,,98,,,,2,3d5(4G)4p2,4G,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3F1)4s,d 2F,5/2,54 870.541,0.003,,79,,,,20,3d6(3F2)4s,2F,"L18349,L18361c138"
,,7/2,54 904.241,0.003,,78,,,,21,3d6(3F2)4s,2F,"L18349,L18361c138"
,,,,,,,,,,,,,
3d54s2,d 4P,5/2,57 411.086,0.002,,91,,,,6,3d54s2,4D,"L18349,L18361c138"
,,3/2,57 493.333,0.002,,93,,,,5,3d54s2,4D,"L18349,L18361c138"
,,1/2,57 578.490,0.003,,96,,,,2,3d5(4P)4p2,4P,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(1G1)4s,d 2G,9/2,58 631.623,0.005,,65,,,,34,3d6(1G2)4s,2G,"L18349,L18361c138"
,,7/2,58 666.199,0.004,,65,,,,34,3d6(1G2)4s,2G,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3P2)4p,z 4S°,3/2,59 663.440,0.003,1.89,41,,,,21,3d6(3P2)4p,4P°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d54s2,c 4D,7/2,60 270.351,0.003,,97,,,,2,3d5(4D)4p2,4D,"L18349,L18361c138"
,,1/2,60 384.368,0.003,,96,,,,2,3d5(4D)4p2,4D,"L18349,L18361c138"
,,3/2,60 441.042,0.003,,93,,,,5,3d54s2,4P,"L18349,L18361c138"
,,5/2,60 445.279,0.003,,92,,,,6,3d54s2,4P,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3P2)4p,y 4P°,5/2,60 402.333,0.003,1.58,46,,,,37,3d6(3P1)4p,4P°,"L18349,L18361c138"
,,1/2,61 035.285,0.003,2.613,52,,,,42,3d6(3P1)4p,4P°,"L18349,L18361c138"
,,3/2,61 332.753,0.003,1.74,25,3d6(3P2)4p,4S°,,23,3d6(3P2)4p,4P°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3H)4p,z 4G°,11/2,60 625.446,0.003,1.24,68,,,,23,3d6(3F2)4p,4G°,"L18349,L18361c138"
,,9/2,60 807.239,0.003,1.155,57,,,,29,3d6(3F2)4p,4G°,"L18349,L18361c138"
,,7/2,60 956.781,0.003,0.969,53,,,,34,3d6(3F2)4p,4G°,"L18349,L18361c138"
,,5/2,61 041.734,0.003,0.799,31,,,,23,3d6(3F2)4p,4G°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3H)4p,z 4H°,13/2,60 837.560,0.003,,51,,,,37,3d6(3H)4p,4I°,"L18349,L18361c138"
,,11/2,60 887.606,0.003,,47,,,,40,3d6(3H)4p,4I°,"L18349,L18361c138"
,,9/2,60 989.444,0.003,,51,,,,34,3d6(3H)4p,4I°,"L18349,L18361c138"
,,7/2,61 156.827,0.003,0.720,72,,,,9,3d6(3H)4p,2G°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3P2)4p,z 2D°,5/2,61 093.406,0.003,1.01,26,,,,21,3d6(3H)4p,4G°,"L18349,L18361c138"
,,3/2,62 125.604,0.003,1.019,33,,,,22,3d6(3P1)4p,2D°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3H)4p,z 4I°,15/2,61 347.566,0.003,,100,,,,,,,"L18349,L18361c138"
,,9/2,61 512.630,0.003,,61,,,,26,3d6(3H)4p,4H°,"L18349,L18361c138"
,,13/2,61 527.610,0.003,,52,,,,39,3d6(3H)4p,4H°,"L18349,L18361c138"
,,11/2,61 587.205,0.003,,54,,,,39,3d6(3H)4p,4H°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3P2)4p,y 4D°,7/2,61 726.069,0.003,1.411,55,,,,33,3d6(3P1)4p,4D°,"L18349,L18361c138"
,,5/2,62 689.874,0.003,1.349,46,,,,27,3d6(3P1)4p,4D°,"L18349,L18361c138"
,,1/2,62 829.071,0.003,,60,,,,33,3d6(3P1)4p,4D°,"L18349,L18361c138"
,,3/2,62 962.215,0.003,1.14,43,,,,25,3d6(3P1)4p,4D°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d5(6S)4s4p(3P°),y 6P°,3/2,61 974.931,0.003,,48,3d54s(5S)4p,6P°,,47,3d54s(7S)4p,6P°,"L18349,L18361c138"
,,5/2,62 049.042,0.003,,49,3d54s(7S)4p,6P°,,48,3d54s(5S)4p,6P°,"L18349,L18361c138"
,,7/2,62 171.624,0.003,1.68,49,3d54s(7S)4p,6P°,,45,3d54s(5S)4p,6P°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3F2)4p,y 4F°,7/2,62 065.528,0.003,1.198,37,,,,12,3d6(3F1)4p,4F°,"L18349,L18361c138"
,,5/2,62 151.554,0.003,1.025,59,,,,19,3d6(3F1)4p,4F°,"L18349,L18361c138"
,,9/2,62 158.126,0.003,1.33,63,,,,21,3d6(3F1)4p,4F°,"L18349,L18361c138"
,,3/2,62 244.515,0.003,0.43,66,,,,20,3d6(3F1)4p,4F°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3H)4p,z 2G°,9/2,62 083.118,0.003,1.097,64,,,,14,3d6(3G)4p,2G°,"L18349,L18361c138"
,,7/2,62 322.445,0.003,,47,,,,15,3d6(3F2)4p,4F°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3H)4p,z 2I°,13/2,62 293.177,0.003,1.069,88,,,,10,3d6(3H)4p,4I°,"L18349,L18361c138"
,,11/2,62 662.252,0.003,0.910,92,,,,4,3d6(3H)4p,4I°,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3F2)4p,x 4D°,7/2,62 945.045,0.003,1.385,59,,,,14,3d6(3F1)4p,4D°,"L18349,L18361c138"
,,5/2,63 272.981,0.003,1.351,66,,,,14,3d6(3F1)4p,4D°,"L18349,L18361c138"
,,3/2,63 465.134,0.003,1.21,71,,,,15,3d6(3F1)4p,4D°,"L18349,L18361c138"
